Year,Week,Home Team,Away Team,Avg_Home_Score,Avg_Away_Score,%Win Home,%Win Away,Predicted Spread,Over_Under,Actual_Home_Score,Actual_Away_Score,Home_Offensive_Performance,Away_Offensive_Performance,Home_Defensive_Performance,Away_Defensive_Performance,Vegas_Spread,Vegas_Total
2024,2.0,Syracuse,Georgia Tech,26.258,29.797,0.2,0.8,Georgia Tech - 3.54,O/U: 56.05,31.0,28.0,1.1805925813085536,0.939691915293486,0.939691915293486,1.1805925813085536,Georgia Tech -3,60.5
2024,2.0,Texas State,UT San Antonio,26.665,36.12,0.02,0.98,UT San Antonio - 9.46,O/U: 62.78,49.0,10.0,1.837614850928183,0.2768549280177187,0.2768549280177187,1.837614850928183,Texas State -1,63.5
2024,2.0,Toledo,UMass,32.483,24.344,0.97,0.03,Toledo - 8.14,O/U: 56.83,38.0,23.0,1.16984268694394,0.9447913243509694,0.9447913243509694,1.16984268694394,Toledo -18,51.5
2024,2.0,Tulane,Kansas State,17.242,31.049,0.0,1.0,Kansas State - 13.81,O/U: 48.29,27.0,34.0,1.5659436260294628,1.0950433186253985,1.0950433186253985,1.5659436260294628,Kansas State -9.5,47.5
2024,2.0,UCF,Sam Houston State,41.122,20.777,1.0,0.0,UCF - 20.34,O/U: 61.90,45.0,14.0,1.0943047517144109,0.673822014727824,0.673822014727824,1.0943047517144109,UCF -21.5,56.5
2024,2.0,USC,Utah State,52.53,28.486,1.0,0.0,USC - 24.04,O/U: 81.02,48.0,0.0,0.9137635636778983,0.0,0.0,0.9137635636778983,USC -28.5,63.5
2024,2.0,Utah,Baylor,31.671,22.323,0.98,0.02,Utah - 9.35,O/U: 53.99,23.0,12.0,0.7262164124909223,0.537562155624244,0.537562155624244,0.7262164124909223,Utah -17,56.5
2024,2.0,Virginia Tech,Marshall,30.146,23.616,0.92,0.08,Virginia Tech - 6.53,O/U: 53.76,31.0,17.0,1.0283287998407749,0.7198509485094851,0.7198509485094851,1.0283287998407749,Virginia Tech -20.5,52.5
2024,2.0,Wake Forest,Virginia,27.091,26.087,0.62,0.38,Wake Forest - 1.00,O/U: 53.18,30.0,31.0,1.1073788342992137,1.1883313527810788,1.1883313527810788,1.1073788342992137,Wake Forest -1,55.5
2024,2.0,Washington,Eastern Michigan,41.754,17.215,1.0,0.0,Washington - 24.54,O/U: 58.97,30.0,9.0,0.7184940364994971,0.5227998838222481,0.5227998838222481,0.7184940364994971,Washington -25,47.5
2024,2.0,Washington State,Texas Tech,26.842,31.268,0.16,0.84,Texas Tech - 4.43,O/U: 58.11,37.0,16.0,1.378436778183444,0.5117052577715235,0.5117052577715235,1.378436778183444,Washington State -2.5,65.5
2024,3.0,Arkansas,UAB,40.669,28.427,1.0,0.0,Arkansas - 12.24,O/U: 69.10,37.0,27.0,0.909783864860213,0.949801245294966,0.949801245294966,0.909783864860213,Arkansas -23.5,61.5
2024,3.0,Auburn,New Mexico,40.711,18.03,1.0,0.0,Auburn - 22.68,O/U: 58.74,45.0,19.0,1.1053523617695464,1.0537992235163616,1.0537992235163616,1.1053523617695464,Auburn -28.5,59.5
2024,3.0,Baylor,Air Force,31.239,28.747,0.73,0.27,Baylor - 2.49,O/U: 59.99,31.0,3.0,0.9923493069560484,0.1043587156920722,0.1043587156920722,0.9923493069560484,Baylor -15.5,41.5
2024,3.0,Buffalo,UMass,27.972,28.351,0.43,0.57,UMass - 0.38,O/U: 56.32,34.0,3.0,1.2155012155012157,0.105816373320165,0.105816373320165,1.2155012155012157,Buffalo -3.5,44.5
2024,3.0,California,San Diego State,32.459,23.985,0.97,0.03,California - 8.47,O/U: 56.44,31.0,10.0,0.9550509873994883,0.4169272461955389,0.4169272461955389,0.9550509873994883,California -18.5,47.5
2024,3.0,Colorado State,Colorado,21.898,37.369,0.0,1.0,Colorado - 15.47,O/U: 59.27,9.0,31.0,0.4109964380308704,0.8295646123792448,0.8295646123792448,0.4109964380308704,Colorado -7.5,57.5
2024,3.0,Duke,Connecticut,35.545,18.319,1.0,0.0,Duke - 17.23,O/U: 53.86,26.0,21.0,0.7314671543114362,1.146350783339702,1.146350783339702,0.7314671543114362,Duke -16.5,46.5
2024,3.0,East Carolina,Appalachian State,27.349,33.025,0.1,0.9,Appalachian State - 5.68,O/U: 60.37,19.0,21.0,0.6947237558960108,0.6358819076457229,0.6358819076457229,0.6947237558960108,Appalachian State -1.5,59.5
2024,3.0,Eastern Michigan,Jacksonville State,17.143,31.707,0.0,1.0,Jacksonville State - 14.56,O/U: 48.85,37.0,34.0,2.1583153473721053,1.0723184154918473,1.0723184154918473,2.1583153473721053,Eastern Michigan -1.5,53.5
2024,3.0,Florida,Texas A&M,28.471,32.246,0.19,0.81,Texas A&M - 3.77,O/U: 60.72,20.0,33.0,0.7024691791647641,1.0233827451466848,1.0233827451466848,0.7024691791647641,Texas A&M -3.5,47.5
2024,3.0,Florida Atlantic,Florida International,33.953,21.923,1.0,0.0,Florida Atlantic - 12.03,O/U: 55.88,38.0,20.0,1.119194180190263,0.912283902750536,0.912283902750536,1.119194180190263,Florida Atlantic -5.5,44.5
2024,3.0,Florida State,Memphis,43.96,22.825,1.0,0.0,Florida State - 21.14,O/U: 66.79,12.0,20.0,0.272975432211101,0.8762322015334064,0.8762322015334064,0.272975432211101,Florida State -6.5,53.5
2024,3.0,Fresno State,New Mexico State,37.525,27.263,0.99,0.01,Fresno State - 10.26,O/U: 64.79,48.0,0.0,1.279147235176549,0.0,0.0,1.279147235176549,Fresno State -20.5,47.5
2024,3.0,Georgia State,Vanderbilt,25.415,30.983,0.1,0.9,Vanderbilt - 5.57,O/U: 56.40,36.0,32.0,1.4164863269722603,1.0328244521189038,1.0328244521189038,1.4164863269722603,Vanderbilt -10.5,45.5
2024,3.0,Houston,Rice,36.755,32.809,0.82,0.18,Houston - 3.95,O/U: 69.56,33.0,7.0,0.8978370289756495,0.2133560913164071,0.2133560913164071,0.8978370289756495,Houston -4.5,44.5
2024,3.0,Illinois,Central Michigan,34.359,19.864,1.0,0.0,Illinois - 14.50,O/U: 54.22,30.0,9.0,0.8731336767659128,0.4530809504631494,0.4530809504631494,0.8731336767659128,Illinois -18.5,48.5
2024,3.0,Iowa,Troy,14.638,14.902,0.45,0.55,Troy - 0.26,O/U: 29.54,38.0,21.0,2.595983057794781,1.4092068178767951,1.4092068178767951,2.595983057794781,Iowa -22.5,38.5
2024,3.0,Kansas,UNLV,45.835,26.908,1.0,0.0,Kansas - 18.93,O/U: 72.74,20.0,23.0,0.4363477691720301,0.8547643823398245,0.8547643823398245,0.4363477691720301,Kansas -7.5,57.5
2024,3.0,Kansas State,Arizona,35.281,29.339,0.92,0.08,Kansas State - 5.94,O/U: 64.62,31.0,7.0,0.8786599019302175,0.2385902723337537,0.2385902723337537,0.8786599019302175,Kansas State -7.5,60.5
2024,3.0,Kentucky,Georgia,14.034,38.622,0.0,1.0,Georgia - 24.59,O/U: 52.66,12.0,13.0,0.8550662676357417,0.3365957226451245,0.3365957226451245,0.8550662676357417,Georgia -22.5,45.5
2024,3.0,Liberty,UTEP,34.809,26.16,0.97,0.03,Liberty - 8.65,O/U: 60.97,28.0,10.0,0.8043896693383895,0.382262996941896,0.382262996941896,0.8043896693383895,Liberty -23.5,57.5
2024,3.0,Miami,Ball State,39.558,18.811,1.0,0.0,Miami - 20.75,O/U: 58.37,62.0,0.0,1.567318873552758,0.0,0.0,1.567318873552758,Miami -36.5,55.5
2024,3.0,Miami (OH),Cincinnati,20.761,25.9,0.12,0.88,Cincinnati - 5.14,O/U: 46.66,16.0,27.0,0.7706757863301382,1.0424710424710426,1.0424710424710426,0.7706757863301382,Cincinnati -3.5,46.5
2024,3.0,Michigan,Arkansas State,43.208,14.132,1.0,0.0,Michigan - 29.08,O/U: 57.34,28.0,18.0,0.6480281429364932,1.273705066515709,1.273705066515709,0.6480281429364932,Michigan -22.5,47.5
2024,3.0,Middle Tennessee,Western Kentucky,26.422,32.574,0.08,0.92,Western Kentucky - 6.15,O/U: 59.00,21.0,49.0,0.7947922186057074,1.504267206974888,1.504267206974888,0.7947922186057074,Western Kentucky -7.5,54.5
2024,3.0,Minnesota,Nevada,32.938,18.406,1.0,0.0,Minnesota - 14.53,O/U: 51.34,27.0,0.0,0.819721901754812,0.0,0.0,0.819721901754812,Minnesota -17.5,44.5
2024,3.0,Mississippi State,Toledo,30.13,21.497,0.97,0.03,Mississippi State - 8.63,O/U: 51.63,17.0,41.0,0.5642217059409227,1.9072428710982927,1.9072428710982927,0.5642217059409227,Mississippi State -10.5,57.5
2024,3.0,Missouri,Boston College,40.485,21.562,1.0,0.0,Missouri - 18.92,O/U: 62.05,27.0,21.0,0.6669136717302705,0.9739356274928114,0.9739356274928114,0.6669136717302705,Missouri -16.5,53.5
2024,3.0,NC State,Louisiana Tech,39.961,18.915,1.0,0.0,NC State - 21.05,O/U: 58.88,30.0,20.0,0.750731963664573,1.0573618821041502,1.0573618821041502,0.750731963664573,NC State -21.5,49.5
2024,3.0,Oklahoma,Tulane,37.805,19.357,1.0,0.0,Oklahoma - 18.45,O/U: 57.16,34.0,19.0,0.8993519375743949,0.9815570594616936,0.9815570594616936,0.8993519375743949,Oklahoma -13.5,46.5
2024,3.0,Old Dominion,Virginia Tech,21.078,36.283,0.0,1.0,Virginia Tech - 15.20,O/U: 57.36,17.0,37.0,0.8065281335990132,1.019761320728716,1.019761320728716,0.8065281335990132,Virginia Tech -14.5,47.5
2024,3.0,Oregon State,Oregon,28.345,40.24,0.01,1.0,Oregon - 11.90,O/U: 68.59,14.0,49.0,0.4939142705944611,1.2176938369781312,1.2176938369781312,0.4939142705944611,Oregon -16.5,49.5
2024,3.0,Pittsburgh,West Virginia,26.371,30.206,0.18,0.83,West Virginia - 3.84,O/U: 56.58,38.0,34.0,1.4409768306093815,1.1256041845990865,1.1256041845990865,1.4409768306093815,West Virginia -1.5,63.5
